distro,package,version,swhid
ubuntu,libp11-kit0,0.23.9-2,swh:1:dir:d4a3e57aeb9576131cbfe38bf669fc9ce0033cfa
debian,libiec61883-0,1.2.0-2,swh:1:dir:fe24491c66810cdea201a1e943218e32833e19d6
debian,telnet,0.17-41,swh:1:dir:ba5f5f4723cd735f17213a71cfc3702bc79bf643
debian,python3-electrum,3.1.3-1~bpo9+1,swh:1:dir:7883384d97a64e09c1497ea1e3ee639fd1342495
debian,libsecret-common,0.18.5-3.1,swh:1:dir:cb0ce4b2b92fc00033dea75f2ed83a895f80b2c8
ubuntu,linux-modules-extra-5.3.0-61-generic,5.3.0-61.55~18.04.1,swh:1:dir:988b8d8164b3964a6b4da5b74e776ab82e02b32c
debian,libfile-listing-perl,6.04-1,swh:1:dir:07c9875eb2c2970ecdfcec9e82c32dd3cfb91a72
debian,gcj-6-jre-lib,6.3.0-18+deb9u1,swh:1:dir:b10b6bb8450fef0f8f623c9086fc12494b8b9f42
ubuntu,python3-debconf,1.5.66ubuntu1,swh:1:dir:29ffa898dcf4201e1b7e70fbaff77e0adb3bdc5c
debian,rtmpdump,2.4+20151223.gitfa8646d.1-1+b1,swh:1:dir:dffbc4e23d0bbc3049b212a207e40c0805b53f1b
ubuntu,libcdt5,2.40.1-2,swh:1:dir:59e89b224e3ff3ac93dcd77cbd3828ae7f87ae2d
debian,libavahi-glib1,0.6.32-2,swh:1:dir:0670284751c68987708f9a9b4525c7be1ece81e7
debian,libisc160,1:9.10.3.dfsg.P4-12.3+deb9u6,swh:1:dir:ba72a41437d77152b35a7d265ca6bff2180a20f1
debian,less,481-2.1,swh:1:dir:94ec69f83bcffaa1e54fed4499e9a2af13d3d44e
debian,libsndio6.1,1.1.0-3,swh:1:dir:4af4892673a08f523c210ed17c13849847f24c35
debian,qt-at-spi,0.4.0-5,swh:1:dir:c13cf7bd67ba034220c65254209d8edf3a093193
ubuntu,libalgorithm-diff-perl,1.19.03-1,swh:1:dir:e97f2e0cd17fe8dd3b0bcadaefa856a2d8ae2cee
debian,libmotif-dev,2.3.4-13,swh:1:dir:47b2e381df21282f3305b65e8d3c95b8ccd46248
ubuntu,command-not-found,18.04.5,swh:1:dir:66bfd58892e059d1f4626d368adb41eff1c2c409
ubuntu,libpcsclite1,1.8.23-1,swh:1:dir:c528d9910df73a3f0108d37a419bb81b51daa6df
debian,x11-session-utils,7.7+2+b1,swh:1:dir:4ed756abd4863838deeac541cdc88889240e82e8
ubuntu,liblcms2-2,2.9-1ubuntu0.1,swh:1:dir:735127823e8fdb3e9b4d2154f4c1ebfa5ded079a
debian,install-info,6.3.0.dfsg.1-1+b2,swh:1:dir:e8fcc5effc66bd484832f489be3522967e5b896e
debian,libopenal-data,1:1.17.2-4,swh:1:dir:6f99d83796163a6504ab2120d9370e14591eb0f6
debian,liblzma-dev,5.2.2-1.2+b1,swh:1:dir:0befcbec644a3b3e73d6f983885f093281e9942d
ubuntu,systemd-sysv,237-3ubuntu10.41,swh:1:dir:6197fd2ec4707e28669f803f492a781785f9d34d
debian,libjline-java,1.0-2,swh:1:dir:56d2919a9ecdff0b920e372c4dcb0e6eb570ec9e
debian,init,1.48,swh:1:dir:0dced046670849041b96c1ee307beba55d8ed346
ubuntu,liblwp-mediatypes-perl,6.02-1,swh:1:dir:0c7b00bd0f8c4dc98d2492fa1c8928f08884d10c
debian,libgfortran-6-dev,6.3.0-18+deb9u1,swh:1:dir:b10b6bb8450fef0f8f623c9086fc12494b8b9f42
debian,liblua5.2-0,5.2.4-1.1+b2,swh:1:dir:0e7849a7de141cf8255881423d9827382f05fb5b
ubuntu,libcryptsetup12,2:2.0.2-1ubuntu1.1,swh:1:dir:d7ce65a330490b5f14269a70a04cbeb8f77db3bf
debian,sgml-base,1.29,swh:1:dir:095d2c7f0c9ccb270ccd69f887740da6bc888ce9
debian,libxcb-icccm4-dev,0.4.1-1,swh:1:dir:e3f6e50a4c9c401c70204bdfbc93384196d7b7f5
debian,libcairo2-dev,1.14.8-1,swh:1:dir:2710df1e5a22f4411ffdd356d7f67656d35715d5
debian,libgsm1,1.0.13-4+b2,swh:1:dir:bf1ec25853f2c0ac7853757348f59cb27d093b05
ubuntu,linux-image-5.3.0-53-generic,5.3.0-53.47~18.04.1,swh:1:dir:52a377f1738da74986c39f67c3d7a305c80cafbe
debian,libibus-1.0-dev,1.5.14-3+deb9u2,swh:1:dir:7eb63f19b75149c7bac0d395f8e13a093b263b71
ubuntu,libpng16-16,1.6.34-1ubuntu0.18.04.2,swh:1:dir:50e16418c3dcc9bf748bd45897fe4c179002a29a
debian,libmono-system-security4.0-cil,4.6.2.7+dfsg-1,swh:1:dir:0337be756fcbe9327bf59c5cd32b97830e537183
debian,libobasis5.3-core,5.3.4.2-2,swh:1:dir:be9528c05aeb436cb268fdf6f84eb3ae72fe96af
ubuntu,libxmuu1,2:1.1.2-2,swh:1:dir:309bb0263973086d3c0dcbcc783a9f4f460287bd
debian,libxml-sax-perl,0.99+dfsg-2,swh:1:dir:4e87a702ea5f7bcb8019c132b277ecc2427e1e2f
debian,logrotate,3.11.0-0.1,swh:1:dir:f8194716814e3f829ecba4d9561d4c8bf94113fa
debian,libnspr4,2:4.12-6,swh:1:dir:6c147f5bbb2371beeaa494407fe551027ee416ad
debian,libdb5.3,5.3.28-12+deb9u1,swh:1:dir:3f481d0b99341d57086851388387ce06b89602aa
debian,libxalan2-java,2.7.1-9,swh:1:dir:2a05d467e76e3ea8c0ebc5882f5e49f01c06ea93
debian,libobasis5.3-extension-pdf-import,5.3.4.2-2,swh:1:dir:be9528c05aeb436cb268fdf6f84eb3ae72fe96af
debian,libgupnp-igd-1.0-4,0.2.4-1+b2,swh:1:dir:73d91fce16ee4459807e0fd9cf55a55dfae8ff2e
